id,key,value,category
83510354,highway,traffic_signals,regular
83511612,highway,traffic_signals,regular
83514908,crossing,traffic_signals,regular
83514908,highway,traffic_signals,regular
83515986,highway,motorway_junction,regular
83515986,ref,2,regular
83517099,highway,turning_circle,regular
83520886,highway,motorway_junction,regular
83520886,ref,15B-C,regular
83526318,highway,traffic_signals,regular
83526318,source,Bing,regular
83527757,crossing,zebra,regular
83527757,highway,crossing,regular
83529013,highway,traffic_signals,regular
83531348,highway,turning_circle,regular
83533334,highway,turning_circle,regular
83533723,highway,traffic_signals,regular
83533723,traffic_signals,signal,regular
83534601,highway,traffic_signals,regular
83536243,highway,traffic_signals,regular
83536243,traffic_signals,signal,regular
83536602,highway,traffic_signals,regular
83537302,crossing,traffic_signals,regular
83537302,highway,traffic_signals,regular
83538238,highway,turning_circle,regular
83538293,highway,turning_circle,regular
83538295,highway,turning_circle,regular
83538607,highway,turning_circle,regular
83538623,highway,turning_circle,regular
83539275,highway,traffic_signals,regular
83539301,highway,traffic_signals,regular
83539612,highway,turning_circle,regular
83539649,highway,turning_circle,regular
83539666,crossing,traffic_signals,regular
83539666,highway,traffic_signals,regular
83539688,highway,traffic_signals,regular
83539763,highway,turning_circle,regular
83539767,highway,turning_circle,regular
83539903,highway,turning_circle,regular
83539907,highway,turning_circle,regular
83539973,highway,turning_circle,regular
83540026,highway,turning_circle,regular
83540110,highway,turning_circle,regular
83540248,highway,turning_circle,regular
83540259,junction,roundabout,regular
83540580,highway,turning_circle,regular
83540676,highway,turning_circle,regular
83541032,highway,turning_circle,regular
83541059,highway,turning_circle,regular
83541312,highway,turning_circle,regular
83541326,highway,turning_circle,regular
83541503,highway,turning_circle,regular
83541697,highway,turning_circle,regular
83541699,highway,turning_circle,regular
83541701,highway,turning_circle,regular
83541826,highway,traffic_signals,regular
83541894,highway,traffic_signals,regular
83542105,crossing,traffic_signals,regular
83542105,highway,traffic_signals,regular
83542107,crossing,traffic_signals,regular
83542107,highway,traffic_signals,regular
83542119,highway,traffic_signals,regular
83542128,highway,traffic_signals,regular
83542141,crossing,traffic_signals,regular
83542141,highway,traffic_signals,regular
83542159,highway,stop,regular
83542175,crossing,traffic_signals,regular
83542175,highway,traffic_signals,regular
83542289,highway,turning_circle,regular
83542341,highway,turning_circle,regular
83542662,highway,traffic_signals,regular
83542712,highway,traffic_signals,regular
83543319,highway,turning_circle,regular
83543471,highway,turning_circle,regular
83543721,highway,turning_circle,regular
83543736,highway,turning_circle,regular
83543877,highway,turning_circle,regular
83544062,highway,turning_circle,regular
83544372,highway,turning_circle,regular
83544522,highway,traffic_signals,regular
83544522,traffic_signals,signal,regular
83544530,highway,traffic_signals,regular
83544546,crossing,traffic_signals,regular
83544546,highway,traffic_signals,regular
83544924,highway,turning_circle,regular
83544950,highway,turning_circle,regular
83545013,highway,turning_circle,regular
83545033,highway,turning_circle,regular
83545776,highway,turning_circle,regular
83546057,highway,turning_circle,regular
83546074,highway,turning_circle,regular
83546798,highway,turning_circle,regular
83546925,highway,turning_circle,regular
83547223,highway,turning_circle,regular
83547429,highway,turning_circle,regular
83547655,highway,stop,regular
83547986,highway,turning_circle,regular
83548419,highway,traffic_signals,regular
83548427,highway,traffic_signals,regular
83548449,highway,traffic_signals,regular
83548483,highway,traffic_signals,regular
83548523,crossing,traffic_signals,regular
83548523,highway,traffic_signals,regular
83548548,highway,traffic_signals,regular
83548566,highway,traffic_signals,regular
83548698,highway,turning_circle,regular
83548701,highway,turning_circle,regular
83549314,highway,turning_circle,regular
83549337,highway,traffic_signals,regular
83549595,highway,stop,regular
83549677,crossing,traffic_signals,regular
83549677,highway,traffic_signals,regular
83549725,highway,traffic_signals,regular
83549837,highway,turning_circle,regular
83550018,highway,traffic_signals,regular
83550759,highway,turning_circle,regular
83550904,highway,stop,regular
83550973,highway,turning_circle,regular
83550975,highway,turning_circle,regular
83551144,highway,turning_circle,regular
83551295,highway,turning_circle,regular
83551361,highway,turning_circle,regular
83551423,highway,turning_circle,regular
83551499,highway,turning_circle,regular
83551720,highway,turning_circle,regular
83551791,highway,turning_circle,regular
83551798,highway,turning_circle,regular
83551973,crossing,traffic_signals,regular
83551973,highway,traffic_signals,regular
83551992,highway,traffic_signals,regular
83552006,highway,traffic_signals,regular
83552198,highway,turning_circle,regular
83552339,highway,turning_circle,regular
83552688,highway,stop,regular
83553324,crossing,traffic_signals,regular
83553324,highway,traffic_signals,regular
83553380,highway,traffic_signals,regular
83553412,crossing,traffic_signals,regular
83553412,highway,traffic_signals,regular
83553429,crossing,traffic_signals,regular
83553429,highway,traffic_signals,regular
83553488,barrier,block,regular
83553488,bicycle,yes,regular
83553488,foot,yes,regular
83553488,motor_vehicle,no,regular
83553683,highway,turning_circle,regular
83553856,highway,turning_circle,regular
83554358,highway,turning_circle,regular
83554641,highway,turning_circle,regular
83554966,highway,turning_circle,regular
83554987,highway,turning_circle,regular
83555005,highway,turning_circle,regular
83555107,highway,turning_circle,regular
83555217,highway,turning_circle,regular
83555586,highway,turning_circle,regular
83555700,crossing,traffic_signals,regular
83555700,highway,traffic_signals,regular
83556109,highway,turning_circle,regular
83556172,highway,turning_circle,regular
83556188,highway,turning_circle,regular
83556314,highway,turning_circle,regular
83556337,highway,turning_circle,regular
83556568,highway,turning_circle,regular
83556568,source,Bing,regular
83556732,highway,turning_circle,regular
83557261,highway,turning_circle,regular
83557351,highway,turning_circle,regular
83557510,highway,turning_circle,regular
83557658,highway,turning_circle,regular
83557677,highway,turning_circle,regular
83557705,highway,turning_circle,regular
83557748,highway,turning_circle,regular
83557988,crossing,traffic_signals,regular
83557988,highway,traffic_signals,regular
83557993,railway,level_crossing,regular
83557997,highway,traffic_signals,regular
83558090,highway,turning_circle,regular
83558316,highway,turning_circle,regular
83558319,highway,turning_circle,regular
83559078,highway,turning_circle,regular
83559199,highway,turning_circle,regular
83559760,crossing,traffic_signals,regular
83559760,highway,traffic_signals,regular
83559769,crossing,traffic_signals,regular
83559769,highway,traffic_signals,regular
83559783,crossing,traffic_signals,regular
83559783,highway,traffic_signals,regular
83559795,highway,traffic_signals,regular
83559806,highway,traffic_signals,regular
83559814,crossing,traffic_signals,regular
83559814,highway,traffic_signals,regular
83559826,highway,traffic_signals,regular
83559828,highway,traffic_signals,regular
83560016,highway,turning_circle,regular
83560120,highway,traffic_signals,regular
83560291,highway,turning_circle,regular
83560528,highway,turning_circle,regular
83560548,highway,turning_circle,regular
83560621,highway,turning_circle,regular
83560696,highway,turning_circle,regular
83560970,highway,turning_circle,regular
83561628,highway,traffic_signals,regular
83561638,highway,turning_circle,regular
83562341,highway,turning_circle,regular
83562680,highway,turning_circle,regular
83562910,highway,turning_circle,regular
83563519,highway,turning_circle,regular
83563562,highway,turning_circle,regular
83563651,highway,turning_circle,regular
83564681,highway,turning_circle,regular
83564688,highway,turning_circle,regular
83564720,highway,turning_circle,regular
83564823,highway,turning_circle,regular
83565296,highway,turning_circle,regular
83565332,highway,turning_circle,regular
83565360,highway,turning_circle,regular
83565841,highway,stop,regular
83566407,highway,turning_circle,regular
83566909,highway,turning_circle,regular
83566920,highway,turning_circle,regular
83567014,highway,turning_circle,regular
83567018,highway,turning_circle,regular
83567313,highway,turning_circle,regular
