id,user,uid,version,changeset,timestamp
10124562,TheDutchMan13,1330847,4,49209938,2017-06-02T23:30:19Z
10124570,TheDutchMan13,1330847,7,49209938,2017-06-02T23:30:20Z
10124572,osmjwh,5084396,6,52314642,2017-09-23T21:05:01Z
10124580,torapa,5446055,3,50608999,2017-07-27T06:33:38Z
10124596,butlerm,104930,2,2326115,2009-08-31T14:03:05Z
10124656,osmjwh,5084396,8,60364764,2018-07-03T05:02:04Z
10124658,mvexel,8909,3,10267626,2012-01-02T03:39:50Z
10124659,butlerm,104930,4,2733195,2009-10-04T09:52:53Z
10124701,mvexel,8909,3,12308255,2012-07-19T04:40:30Z
10124702,Christine_E,1707766,2,28055943,2015-01-11T07:04:43Z
10124900,chadbunn,1058653,2,33913224,2015-09-09T16:05:30Z
10124941,Alan Trick,1722904,3,56705242,2018-02-26T22:46:40Z
10124943,Alan Trick,1722904,5,56702278,2018-02-26T20:40:36Z
10124945,Alan Trick,1722904,5,56702278,2018-02-26T20:40:35Z
10125036,osmjwh,5084396,9,60364764,2018-07-03T05:02:04Z
10125038,osmjwh,5084396,3,60364764,2018-07-03T05:02:04Z
10125044,TheDutchMan13,1330847,4,49209938,2017-06-02T23:30:21Z
10125051,DaveHansenTiger,7168,1,282863,2007-10-22T17:20:47Z
10125102,DaveHansenTiger,7168,1,282863,2007-10-22T17:21:47Z
10125149,andreis_telenav,4870032,3,61741351,2018-08-17T10:22:14Z
10125171,mvexel,8909,2,58588163,2018-05-01T15:51:42Z
10125175,caligari87,1744833,7,59577467,2018-06-05T18:11:56Z
10125236,osmjwh,5084396,6,53891017,2017-11-18T02:14:11Z
10125289,andreis_telenav,4870032,3,62759914,2018-09-20T11:38:19Z
10125292,bburgon42,151079,3,18546606,2013-10-26T04:57:11Z
10125300,mvexel,8909,3,55396826,2018-01-13T01:43:07Z
10125330,andreis_telenav,4870032,6,61741298,2018-08-17T10:19:48Z
10125340,ayushiso,8446883,6,63753792,2018-10-22T10:25:56Z
10125350,maxolasersquad,55916,3,50654428,2017-07-28T17:10:41Z
10125355,jharpster,250487,2,50215438,2017-07-12T00:06:53Z
10125366,stevea,123633,18,62862992,2018-09-23T22:43:23Z
10125383,osmjwh,5084396,3,60364764,2018-07-03T05:02:04Z
10125448,andreis_telenav,4870032,2,63159402,2018-10-03T13:01:56Z
10125473,Gabriel Misla,8793009,8,64507441,2018-11-14T23:54:01Z
10125479,andreis_telenav,4870032,6,61741315,2018-08-17T10:20:50Z
10125586,afdreher,1110270,5,28910960,2015-02-17T15:10:52Z
10125587,afdreher,1110270,3,28910960,2015-02-17T15:10:53Z
10125588,butlerm,104930,2,1530434,2009-06-16T01:47:31Z
10125595,DaveHansenTiger,7168,1,283419,2007-10-22T17:28:29Z
10125692,andreis_telenav,4870032,6,61746154,2018-08-17T13:10:52Z
10125697,DaveHansenTiger,7168,1,283419,2007-10-22T17:29:58Z
10125740,viana,348149,2,11025612,2012-03-19T00:46:22Z
10125780,chadbunn,1058653,3,32995428,2015-07-30T22:11:18Z
10125964,mvexel,8909,10,11390365,2012-04-23T00:05:45Z
10126001,butlerm,104930,3,539800,2009-04-14T09:38:11Z
10126119,andreis_telenav,4870032,3,62976110,2018-09-27T12:35:19Z
10126175,andreis_telenav,4870032,5,62970649,2018-09-27T09:11:27Z
10126224,Gabriel Misla,8793009,7,64507441,2018-11-14T23:54:01Z
10126256,mvexel,8909,2,18444591,2013-10-20T04:24:49Z
10126273,mvexel,8909,12,61866302,2018-08-21T19:11:42Z
10126298,chadbunn,1058653,3,32963283,2015-07-29T18:45:45Z
10126329,chadbunn,1058653,4,32963071,2015-07-29T18:36:26Z
10126348,andreis_telenav,4870032,4,62751716,2018-09-20T06:33:22Z
10126349,andreis_telenav,4870032,4,62751716,2018-09-20T06:33:23Z
